Job,Female Total Workers,Male Total Workers,Role: Who Dominates More?,Female Median Earnings,Male Median Earnings,Earnings: Who Dominates More?
    Landscaping and groundskeeping workers,34093,653605,Male Total Workers,"26,668","28,737",Male Median Earnings
    Tree trimmers and pruners,1622,59798,Male Total Workers,"30,776","33,014",Male Median Earnings
    Other grounds maintenance workers,1426,23187,Male Total Workers,"25,812","30,242",Male Median Earnings
    Supervisors of personal care and service workers,47532,33715,Female Total Workers,"36,330","45,532",Male Median Earnings
    Animal trainers,17963,14252,Female Total Workers,"27,308","36,829",Male Median Earnings
    Animal caretakers,95061,37212,Female Total Workers,"26,702","31,780",Male Median Earnings
    Gambling services workers,28564,34768,Male Total Workers,"40,300","42,742",Male Median Earnings
"    Ushers, lobby attendants, and ticket takers",3169,4401,Male Total Workers,"25,152","22,363",Female Median Earnings
    Other entertainment attendants and related workers,24552,32354,Male Total Workers,"25,050","28,970",Male Median Earnings
"    Embalmers, crematory operators and funeral attendants",2011,5744,Male Total Workers,"33,561","34,748",Male Median Earnings
"    Morticians, undertakers, and funeral arrangers",9055,24339,Male Total Workers,"43,008","59,407",Male Median Earnings
    Barbers,13304,60836,Male Total Workers,"25,367","29,129",Male Median Earnings
"    Hairdressers, hairstylists, and cosmetologists",361331,45377,Female Total Workers,"27,486","35,669",Male Median Earnings
    Manicurists and pedicurists,117929,31625,Female Total Workers,"24,211","26,196",Male Median Earnings
    Skincare specialists,33408,691,Female Total Workers,"30,190","27,021",Female Median Earnings
    Other personal appearance workers,10750,1383,Female Total Workers,"29,638","36,053",Male Median Earnings
"    Baggage porters, bellhops, and concierges",15243,48880,Male Total Workers,"31,403","36,349",Male Median Earnings
    Tour and travel guides,7213,12934,Male Total Workers,"30,379","32,486",Male Median Earnings
    Childcare workers,471020,28396,Female Total Workers,"22,655","25,784",Male Median Earnings
    Exercise trainers and group fitness instructors,44131,42221,Female Total Workers,"33,892","40,337",Male Median Earnings
    Recreation workers,62686,37256,Female Total Workers,"31,643","37,681",Male Median Earnings
    Residential advisors,17550,9573,Female Total Workers,"31,618","31,369",Female Median Earnings
"    Personal care and service workers, all other",36982,33546,Female Total Workers,"29,065","30,500",Male Median Earnings
    First-line supervisors of retail sales workers,1132888,1480669,Male Total Workers,"36,969","50,612",Male Median Earnings
    First-line supervisors of non-retail sales workers,333214,714965,Male Total Workers,"61,759","71,396",Male Median Earnings
    Cashiers,689787,289856,Female Total Workers,"22,238","24,871",Male Median Earnings
    Counter and rental clerks,19137,32014,Male Total Workers,"28,932","39,646",Male Median Earnings
    Parts salespersons,11296,82641,Male Total Workers,"32,904","40,792",Male Median Earnings
    Retail salespersons,633799,1019516,Male Total Workers,"29,639","41,800",Male Median Earnings
    Advertising sales agents,60855,60019,Female Total Workers,"61,635","71,015",Male Median Earnings
    Insurance sales agents,225934,239837,Male Total Workers,"45,686","68,058",Male Median Earnings
"    Securities, commodities, and financial services sales agents",58019,142624,Male Total Workers,"67,097","116,924",Male Median Earnings
    Travel agents,39588,10683,Female Total Workers,"43,692","46,993",Male Median Earnings
"    Sales representatives of services, except advertising, insurance, financial services, and travel",164587,377773,Male Total Workers,"60,740","77,195",Male Median Earnings
"    Sales representatives, wholesale and manufacturing",304896,869631,Male Total Workers,"60,772","74,574",Male Median Earnings
"    Models, demonstrators, and product promoters",8162,5377,Female Total Workers,"29,700","43,221",Male Median Earnings
    Real estate brokers and sales agents,308809,297253,Female Total Workers,"54,343","74,041",Male Median Earnings
    Sales engineers,3488,37429,Male Total Workers,"88,538","113,598",Male Median Earnings
    Telemarketers,17249,11907,Female Total Workers,"26,760","31,999",Male Median Earnings
"    Door-to-door sales workers, news and street vendors, and related workers",20818,24427,Male Total Workers,"30,591","37,826",Male Median Earnings
"    Sales and related workers, all other",95927,117007,Male Total Workers,"48,520","67,901",Male Median Earnings
    First-line supervisors of office and administrative support workers,695160,407273,Female Total Workers,"48,680","60,883",Male Median Earnings
"    Switchboard operators, including answering service",12385,3391,Female Total Workers,"32,606","41,301",Male Median Earnings
    Telephone operators,17211,7601,Female Total Workers,"30,707","38,829",Male Median Earnings
"    Communications equipment operators, all other",4157,10470,Male Total Workers,"45,376","57,209",Male Median Earnings
    Bill and account collectors,89220,34992,Female Total Workers,"36,721","40,149",Male Median Earnings
    Billing and posting clerks,351143,48499,Female Total Workers,"37,267","42,977",Male Median Earnings
"    Bookkeeping, accounting, and auditing clerks",735547,112659,Female Total Workers,"41,688","45,486",Male Median Earnings
    Gambling cage workers,4417,2353,Female Total Workers,"31,086","36,800",Male Median Earnings
    Payroll and timekeeping clerks,114898,16164,Female Total Workers,"44,738","50,255",Male Median Earnings
    Procurement clerks,21350,15589,Female Total Workers,"53,471","67,172",Male Median Earnings
    Tellers,172187,28410,Female Total Workers,"29,207","30,145",Male Median Earnings
"    Financial clerks, all other",66045,48810,Female Total Workers,"49,064","86,419",Male Median Earnings
    Brokerage clerks,4933,1820,Female Total Workers,"47,003","59,588",Male Median Earnings
    Correspondence clerks,3119,1276,Female Total Workers,"46,510","48,720",Male Median Earnings
"    Court, municipal, and license clerks",55597,13741,Female Total Workers,"40,324","46,240",Male Median Earnings
"    Credit authorizers, checkers, and clerks",25881,9103,Female Total Workers,"40,443","59,608",Male Median Earnings
    Customer service representatives,1249177,650525,Female Total Workers,"35,261","40,275",Male Median Earnings
"    Eligibility interviewers, government programs",59625,14032,Female Total Workers,"43,516","50,863",Male Median Earnings
    File clerks,94082,26528,Female Total Workers,"36,511","41,383",Male Median Earnings
"    Hotel, motel, and resort desk clerks",50670,29863,Female Total Workers,"24,613","26,708",Male Median Earnings
"    Interviewers, except eligibility and loan",83553,20291,Female Total Workers,"33,546","37,601",Male Median Earnings
"    Library assistants, clerical",27949,6558,Female Total Workers,"31,636","35,639",Male Median Earnings
    Loan interviewers and clerks,88129,25392,Female Total Workers,"45,133","49,961",Male Median Earnings
    New accounts clerks,10256,3645,Female Total Workers,"38,784","47,380",Male Median Earnings
    Order clerks,44936,39116,Female Total Workers,"34,398","36,829",Male Median Earnings
"    Human resources assistants, except payroll and timekeeping",35278,8368,Female Total Workers,"42,303","48,652",Male Median Earnings
    Receptionists and information clerks,646319,72256,Female Total Workers,"30,685","32,922",Male Median Earnings
    Reservation and transportation ticket agents and travel clerks,49829,44332,Female Total Workers,"39,328","45,816",Male Median Earnings
"    Information and record clerks, all other",61957,18852,Female Total Workers,"39,170","48,890",Male Median Earnings
    Cargo and freight agents,6624,12808,Male Total Workers,"41,863","46,109",Male Median Earnings
    Couriers and messengers,27745,152937,Male Total Workers,"32,458","40,555",Male Median Earnings
    Public safety telecommunicators,57911,27189,Female Total Workers,"41,921","48,593",Male Median Earnings
"    Dispatchers, except police, fire, and ambulance",77013,83181,Male Total Workers,"37,221","47,141",Male Median Earnings
"    Meter readers, utilities",2482,17926,Male Total Workers,"38,889","41,494",Male Median Earnings
    Postal service clerks,54049,47412,Female Total Workers,"54,161","60,618",Male Median Earnings
    Postal service mail carriers,105143,179460,Male Total Workers,"54,618","61,344",Male Median Earnings
"    Postal service mail sorters, processors, and processing machine operators",24954,25464,Male Total Workers,"51,783","60,099",Male Median Earnings
"    Production, planning, and expediting clerks",157658,123326,Female Total Workers,"43,771","64,101",Male Median Earnings
"    Shipping, receiving, and inventory clerks",145218,325787,Male Total Workers,"31,701","35,402",Male Median Earnings
"    Weighers, measurers, checkers, and samplers, recordkeeping",29793,36432,Male Total Workers,"35,297","41,377",Male Median Earnings
    Executive secretaries and executive administrative assistants,178998,12665,Female Total Workers,"53,563","61,003",Male Median Earnings
    Legal secretaries and administrative assistants,53604,2471,Female Total Workers,"45,940","51,817",Male Median Earnings
    Medical secretaries and administrative assistants,61120,3338,Female Total Workers,"37,415","42,212",Male Median Earnings
"    Secretaries and administrative assistants, except legal, medical, and executive",1712491,107072,Female Total Workers,"39,773","45,163",Male Median Earnings
    Data entry keyers,162356,47875,Female Total Workers,"34,765","38,315",Male Median Earnings
    Word processors and typists,110118,20405,Female Total Workers,"36,758","40,641",Male Median Earnings
    Desktop publishers,532,878,Male Total Workers,"47,500","49,917",Male Median Earnings
    Insurance claims and policy processing clerks,193330,47877,Female Total Workers,"39,610","44,727",Male Median Earnings
"    Mail clerks and mail machine operators, except postal service",23017,24789,Male Total Workers,"30,578","34,478",Male Median Earnings
"    Office clerks, general",721700,152155,Female Total Workers,"36,188","40,749",Male Median Earnings
"    Office machine operators, except computer",13420,8723,Female Total Workers,"30,537","38,094",Male Median Earnings
    Proofreaders and copy markers,3812,2418,Female Total Workers,"44,683","48,488",Male Median Earnings
    Statistical assistants,12724,10650,Female Total Workers,"52,707","60,008",Male Median Earnings
"    Office and administrative support workers, all other",354038,118862,Female Total Workers,"42,158","50,259",Male Median Earnings
"    First-line supervisors of farming, fishing, and forestry workers",6554,42058,Male Total Workers,"36,842","46,731",Male Median Earnings
    Agricultural inspectors,4774,7003,Male Total Workers,"51,536","51,715",Male Median Earnings
    Animal breeders,1532,3020,Male Total Workers,"33,232","37,985",Male Median Earnings
"    Graders and sorters, agricultural products",19533,13091,Female Total Workers,"22,418","29,988",Male Median Earnings
    Miscellaneous agricultural workers,80202,386132,Male Total Workers,"22,162","30,428",Male Median Earnings
    Fishing and hunting workers,1023,19340,Male Total Workers,"30,420","40,995",Male Median Earnings
    Forest and conservation workers,1493,9463,Male Total Workers,"35,325","40,117",Male Median Earnings
    Logging workers,1247,35371,Male Total Workers,"24,081","38,217",Male Median Earnings
    First-line supervisors of construction trades and extraction workers,22604,640676,Male Total Workers,"47,802","63,036",Male Median Earnings
    Boilermakers,151,11385,Male Total Workers,"80,408","62,256",Female Median Earnings
"    Brickmasons, blockmasons, and stonemasons",732,94589,Male Total Workers,"41,100","39,898",Female Median Earnings
    Carpenters,15229,857782,Male Total Workers,"32,564","40,603",Male Median Earnings
"    Carpet, floor, and tile installers and finishers",1928,99722,Male Total Workers,"35,045","37,443",Male Median Earnings
"    Cement masons, concrete finishers, and terrazzo workers",431,43996,Male Total Workers,"50,759","41,158",Female Median Earnings
    Construction laborers,36486,1211103,Male Total Workers,"32,080","36,301",Male Median Earnings
    Construction equipment operators,6687,290396,Male Total Workers,"40,327","50,352",Male Median Earnings
"    Drywall installers, ceiling tile installers, and tapers",2644,98828,Male Total Workers,"34,258","35,481",Male Median Earnings
    Electricians,14380,700892,Male Total Workers,"46,974","54,402",Male Median Earnings
    Glaziers,978,36330,Male Total Workers,"36,157","43,117",Male Median Earnings
    Insulation workers,1358,34395,Male Total Workers,"37,240","42,412",Male Median Earnings
    Painters and paperhangers,21258,350396,Male Total Workers,"29,180","34,361",Male Median Earnings
    Pipelayers,640,42168,Male Total Workers,"41,875","46,728",Male Median Earnings
"    Plumbers, pipefitters, and steamfitters",7188,456017,Male Total Workers,"46,208","50,473",Male Median Earnings
    Plasterers and stucco masons,224,19675,Male Total Workers,"28,150","36,477",Male Median Earnings
    Reinforcing iron and rebar workers,98,5832,Male Total Workers,"50,476","41,106",Female Median Earnings
    Roofers,2705,139919,Male Total Workers,"35,563","34,172",Female Median Earnings
    Sheet metal workers,4435,97212,Male Total Workers,"36,805","47,299",Male Median Earnings
    Structural iron and steel workers,1107,46375,Male Total Workers,"42,125","53,187",Male Median Earnings
    Solar photovoltaic installers,526,10517,Male Total Workers,"38,245","38,167",Female Median Earnings
"    Helpers, construction trades",979,25764,Male Total Workers,"28,770","30,348",Male Median Earnings
    Construction and building inspectors,8919,72110,Male Total Workers,"46,986","61,972",Male Median Earnings
    Elevator and escalator installers and repairers,510,25545,Male Total Workers,"72,639","87,404",Male Median Earnings
    Fence erectors,410,20599,Male Total Workers,"42,574","33,731",Female Median Earnings
    Hazardous materials removal workers,4579,17889,Male Total Workers,"30,929","46,252",Male Median Earnings
    Highway maintenance workers,2554,79906,Male Total Workers,"35,851","41,979",Male Median Earnings
    Rail-track laying and maintenance equipment operators,280,8017,Male Total Workers,"41,060","61,049",Male Median Earnings
    Septic tank servicers and sewer pipe cleaners,137,8554,Male Total Workers,"29,688","44,913",Male Median Earnings
    Miscellaneous construction and related workers,916,26724,Male Total Workers,"32,474","41,236",Male Median Earnings
"    Derrick, rotary drill, and service unit operators, oil and gas",278,18898,Male Total Workers,"83,587","63,651",Female Median Earnings
"    Excavating and loading machine and dragline operators, surface mining",89,8133,Male Total Workers,"21,701","51,093",Male Median Earnings
"    Earth drillers, except oil and gas",306,18959,Male Total Workers,"68,389","51,745",Female Median Earnings
